,Unnamed: 0,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
4638,33191,33264,Text,2010-07-26,Living Up to Billy,en,"Cooper, Elizabeth, 1877-1945",New York (N.Y.) -- Fiction; Epistolary fiction; Children of prisoners -- Fiction; Aunts -- Fiction; Nephews -- Fiction; Dancers -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/6/33264/33264.txt
4639,33198,33271,Text,2010-07-27,The Riddle of the Night,en,"Hanshew, Thomas W., 1857-1914","Detective and mystery stories; Murder -- Fiction; Cleek, Hamilton (Fictitious character) -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/7/33271/33271.txt
4640,33206,33279,Text,2010-07-28,The Riddle of the Spinning Wheel,en,"Hanshew, Mary E.; Hanshew, Thomas W., 1857-1914","Detective and mystery stories; Cleek, Hamilton (Fictitious character) -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/7/33279/33279.txt
4641,33216,33289,Text,2010-07-29,The Loves of Ambrose,en,"Vandercook, Margaret, 1876-1958; Grant, Gordon, 1875-1962 [Illustrator]",Marriage -- Fiction; Kentucky -- Social life and customs -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/8/33289/33289.txt
4642,33228,33301,Text,2010-07-31,The Sword of Damocles: A Story of New York Life,en,"Green, Anna Katharine, 1846-1935",New York (N.Y.) -- Fiction; Detective and mystery stories,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/0/33301/33301-0.txt
4643,33232,33305,Text,2010-07-31,Lost Man's Lane: A Second Episode in the Life of Amelia Butterworth,en,"Green, Anna Katharine, 1846-1935",Detective and mystery stories; New York (State) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/0/33305/33305.txt
4644,33233,33306,Text,2010-07-31,The King of Arcadia,en,"Lynde, Francis, 1856-1930",Civil engineers -- Fiction; Love stories; Fathers and daughters -- Fiction; Colorado -- Fiction; Rocky Mountains -- Fiction; Dams -- Design and construction -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/0/33306/33306.txt
4645,33241,33314,Text,2010-08-01,H. R.,en,"Lefevre, Edwin, 1871-1943",New York (N.Y.) -- Fiction; Satire; Advertising -- Fiction; Labor unions -- Fiction; Bank employees -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/1/33314/33314.txt
4646,33252,33325,Text,2010-08-02,The Spoils of Poynton,en,"James, Henry, 1843-1916",Inheritance and succession -- Fiction; England -- Fiction; Domestic fiction; Country homes -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/2/33325/33325.txt
4647,33261,33334,Text,2010-08-03,"The Only Woman in the Town, and Other Tales of the American Revolution",en,"Prichard, Sarah J. (Sarah Johnson), 1830-1909","Short stories; United States -- History -- Revolution, 1775-1783 -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/3/33334/33334.txt
4648,33301,33374,Text,2010-08-08,"Wake (First 25,000 words)",en,"Sawyer, Robert J., 1960-","Science fiction; Artificial intelligence -- Fiction; Blind women -- Fiction; Women mathematicians -- Fiction; Implants, Artificial -- Fiction; World Wide Web -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/7/33374/33374.txt
4649,33302,33375,Text,2010-08-08,"Watch (First 25,000 words)",en,"Sawyer, Robert J., 1960-","Science fiction; Friendship -- Fiction; Teenage girls -- Fiction; Artificial intelligence -- Fiction; Implants, Artificial -- Fiction; World Wide Web -- Fiction; Teenagers with visual disabilities -- Fiction; Administrative agencies -- Fiction; National security -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/7/33375/33375.txt
4650,33319,33392,Text,2010-08-09,In and Out,en,"Franklin, Edgar, 1879-1958; Stahr, Paul, 1883-1953 [Illustrator]",Detective and mystery stories; Murder -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/9/33392/33392-0.txt
4651,33320,33393,Text,2010-11-23,Avery,en,"Phelps, Elizabeth Stuart, 1844-1911",Conduct of life -- Fiction; Married people -- Fiction; Invalids -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/9/33393/33393.txt
4652,33326,33399,Text,2010-08-10,A Romance in Transit,en,"Lynde, Francis, 1856-1930",Fiction; Love stories; Railroad stories,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/3/9/33399/33399.txt
4653,33327,33400,Text,2010-08-10,The Book of Susan: A Novel,en,"Dodd, Lee Wilson, 1879-1933",Guardian and ward -- Fiction; New Haven (Conn.) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/0/33400/33400.txt
4654,33330,33403,Text,2010-08-10,Geography and Plays,en,"Stein, Gertrude, 1874-1946; Anderson, Sherwood, 1876-1941 [Author of introduction, etc.]","American drama -- 20th century; Prose poems; Experimental fiction, American",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/0/33403/33403.txt
4655,33334,33407,Text,2010-08-11,Bee and Butterfly: A Tale of Two Cousins,en,"Madison, Lucy Foster, 1865-1932; Beard, Adelia B. (Adelia Belle), 1857-1920 [Illustrator]",Fathers and daughters -- Fiction; Cousins -- Fiction; Entomologists -- Fiction; Young women -- Conduct of life -- Fiction,PS,Animals-Wild-Insects,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/0/33407/33407.txt
4656,33350,33423,Text,2010-08-13,A Man in the Open,en,"Pocock, Roger, 1865-1941; Bracker, M. Leone, 1885-1937 [Illustrator]",Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/2/33423/33423.txt
4657,33359,33432,Text,2010-08-14,"Mr. Munchausen 
Being a True Account of Some of the Recent Adventures beyond the Styx of the Late Hieronymus Carl Friedrich, Sometime Baron Munchausen of Bodenwerder",en,"Bangs, John Kendrick, 1862-1922; Newell, Peter, 1862-1924 [Illustrator]","Humorous stories, American; Travelers -- Fiction; Fantasy fiction, American; Adventure stories, American; Truthfulness and falsehood -- Fiction",PS,Humor,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/3/33432/33432.txt
4658,33360,33433,Text,2010-08-14,"Sketches of Aboriginal Life
American Tableaux, No. 1",en,"Vide, V. V.","Historical fiction; Indians of North America -- Fiction; Mexico -- History -- Conquest, 1519-1540 -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/3/33433/33433.txt
4659,33385,33458,Text,2010-08-18,The Captain of the Gray-Horse Troop,en,"Garland, Hamlin, 1860-1940",Western stories; Colorado -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/5/33458/33458.txt
4660,33393,33466,Text,2010-08-19,The Social Gangster,en,"Reeve, Arthur B. (Arthur Benjamin), 1880-1936; Foster, Will, 1882-1953 [Illustrator]","New York (N.Y.) -- Fiction; Detective and mystery stories; Chemistry teachers -- Fiction; Kennedy, Craig (Fictitious character) -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/6/33466/33466.txt
4661,33397,33470,Text,2010-11-23,"The Forge in the Forest
Being the Narrative of the Acadian Ranger, Jean de Mer, Seigneur de Briart; and How He Crossed the Black Abbé; and of His Adventures in a Strange Fellowship",en,"Roberts, Charles G. D., Sir, 1860-1943",Historical fiction; Canada -- History -- To 1763 (New France) -- Fiction; Acadians -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/7/33470/33470.txt
4662,33402,33475,Text,2010-08-20,The Broken Gate: A Novel,en,"Hough, Emerson, 1857-1923; Bracker, M. Leone, 1885-1937 [Illustrator]",Illegitimate children -- Fiction; Villages -- Fiction; Mothers and sons -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/7/33475/33475.txt
4663,33405,33478,Text,2010-08-21,Horse-Shoe Robinson: A Tale of the Tory Ascendency,en,"Kennedy, John Pendleton, 1795-1870","South Carolina -- History -- Revolution, 1775-1783 -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/7/33478/33478.txt
4664,33408,33481,Text,2010-08-21,The Guns of Europe,en,"Altsheler, Joseph A. (Joseph Alexander), 1862-1919; Wrenn, Charles L. (Charles Lewis), 1880-1952 [Illustrator]","World War, 1914-1918 -- Fiction",PZ; PS,,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/4/8/33481/33481.txt
